image,method,tp,fp,fn,tn,iou,dice,precision,recall,specificity,accuracy
11240-12,Blackhat,445,21983,5,43103,0.019836847505818052,0.03890200192744601,0.019841269845640087,0.9888888888913581,0.6622468733680634,0.6644897460942619
11240-12,UNet_no_TAFE,308,342,142,64744,0.38888888896604945,0.56000000004,0.47384615392710067,0.6844444445145679,0.9947454137602637,0.9926147460937613
11240-12,TAFE_channel,227,74,223,65012,0.4332061069783958,0.6045272969900763,0.7541528240019425,0.5044444445545678,0.9988630427434488,0.9954681396484444
11240-12,TAFE_spatial,291,156,159,64930,0.4801980198877562,0.6488294314772766,0.6510067114874706,0.6466666667451852,0.9976031711888922,0.9951934814453198
11240-12,TAFE_full,230,67,220,65019,0.44487427476888314,0.6157965194624102,0.7744107744867303,0.5111111112197531,0.9989705927542037,0.9956207275390692
11240-2,Otsu,3367,19048,48,43073,0.1498909317582251,0.2607046070489326,0.15021191167008605,0.9859443631043647,0.693372611516728,0.7086181640629446
11240-2,Adaptive,3236,23898,179,38223,0.11847838026171244,0.21185636191295343,0.11925996904577554,0.9475841874100268,0.6152991741929213,0.632614135742748
11240-2,Canny,2139,39137,1276,22984,0.05026790750364197,0.09572397127140649,0.05182188196760388,0.6263543191910291,0.369987604836738,0.38334655761812847
11240-2,Blackhat,3319,10834,96,51287,0.23292862657566896,0.3778460837922481,0.234508584757758,0.9718887262087295,0.8255984288729648,0.8332214355471295
11240-2,UNet_no_TAFE,3345,2213,70,59908,0.5943496801777834,0.74557004346656,0.6018351925224571,0.9795021961938652,0.9643759759180239,0.9651641845703657
11240-2,TAFE_channel,2669,76,746,62045,0.7645373818457595,0.8665584415606078,0.9723132969044694,0.7815519765803353,0.998776581188328,0.9874572753906441
11240-2,TAFE_spatial,3202,694,213,61427,0.7792650279927168,0.8759403638370136,0.8218685831667898,0.9376281112756185,0.9888282545355213,0.9861602783203336
11240-2,TAFE_full,2735,88,680,62033,0.7807593491355763,0.8768836165457377,0.968827488488529,0.8008784773118337,0.9985834097970113,0.9882812500000179
11240-3,Otsu,2754,24940,47,37795,0.0992754406867118,0.18061977373608584,0.09944392287463188,0.9832202784725733,0.602454770065191,0.6187286376958943
11240-3,Adaptive,2618,26056,183,36679,0.09072322140523711,0.16635424940693772,0.09130222501537524,0.9346661906485303,0.5846656571298563,0.5996246337896735
11240-3,Canny,1703,42821,1098,19914,0.03732848187489078,0.07197041732895515,0.03824903423089065,0.6079971438911819,0.31743046146598003,0.32984924316508507
11240-3,Blackhat,2743,16359,58,46376,0.14316283925290624,0.2504679724272909,0.14359752905903256,0.9792931096044523,0.7392364708699463,0.7494964599613197
11240-3,UNet_no_TAFE,2742,2220,59,60515,0.5461063533251124,0.7064279273514565,0.552599758171048,0.9789360942528048,0.9646130549135815,0.9652252197266156
11240-3,TAFE_channel,2199,124,602,62611,0.7517948718033575,0.858313817332976,0.9466207490337227,0.78507675830828,0.9980234318960739,0.9889221191406419
11240-3,TAFE_spatial,2626,797,175,61938,0.7298499166278529,0.8438303341927406,0.7671633070474098,0.9375223134617093,0.9872957679126687,0.9851684570312726
11240-3,TAFE_full,2263,147,538,62588,0.7676390773484518,0.868547303782987,0.9390041493801243,0.807925740813712,0.9976568103929263,0.9895477294922035
11240-4,Otsu,2372,28643,30,34491,0.0764052182345743,0.1419636711878925,0.07647912300797523,0.9875104079938588,0.5463141888688404,0.5624847412116051
11240-4,Adaptive,2244,26902,158,36232,0.07657657657972776,0.14225941422866026,0.0769916969770226,0.93422148210099,0.5738904552229007,0.58709716796938
11240-4,Canny,1362,42565,1040,20569,0.030288878513064495,0.058796865895964084,0.031005987208252317,0.5670274771204402,0.32579909399162765,0.33464050293070274
11240-4,Blackhat,2366,17031,36,46103,0.12175165955271057,0.21707417771816562,0.1219776254105172,0.9850124895926307,0.7302404409672597,0.7395782470707098
11240-4,UNet_no_TAFE,2380,2070,22,61064,0.5322003577922138,0.6946876824329439,0.5348314606846105,0.9908409658621632,0.9672125954319903,0.9680786132812987
11240-4,TAFE_channel,2067,134,335,63000,0.8150630914899423,0.898109928309839,0.9391185824652831,0.8605328892647571,0.9978775303323124,0.9928436279296984
11240-4,TAFE_spatial,2294,860,108,62274,0.7032495401685086,0.825773938088089,0.7273303741367365,0.9550374687778919,0.9863781797446917,0.9852294921875225
11240-4,TAFE_full,2023,122,379,63012,0.801505546759053,0.8898174620653218,0.9431235431261948,0.8422148209890835,0.9980676022428516,0.9923553466796992
11240-5,Otsu,3508,13252,72,48704,0.20841254753321997,0.34493608653222746,0.2093078758997058,0.9798882681569864,0.7861062689654172,0.7966918945315602
11240-5,Adaptive,3419,22544,161,39412,0.1308758230013364,0.2314592289231579,0.13168740130519704,0.95502793296215,0.6361288656471752,0.6535491943364662
11240-5,Canny,2065,24365,1515,37591,0.0738951511931512,0.13762079307185063,0.07813091184609106,0.5768156424699213,0.6067370391897366,0.6051025390631025
11240-5,Blackhat,3380,5059,200,56897,0.39124898715833717,0.5624427989053794,0.40052138879724464,0.944134078213851,0.918345277293695,0.919754028320435
11240-5,UNet_no_TAFE,3458,2272,122,59684,0.5909090909160816,0.7428571428599048,0.6034904014030804,0.9659217877104491,0.9633288139970894,0.9634704589844307
11240-5,TAFE_channel,3060,227,520,61729,0.8037825059153196,0.8912188728718331,0.9309400669324326,0.8547486033560125,0.9963361094970683,0.9886016845703299
11240-5,TAFE_spatial,3304,893,276,61063,0.7386541471106941,0.8496849684987825,0.7872289730810763,0.9229050279351144,0.9855865452902293,0.9821624755859647
11240-5,TAFE_full,2975,188,605,61768,0.7895435244217213,0.8823965593966722,0.9405627568782623,0.8310055865968993,0.9969655884821536,0.9878997802734559
11240-6,Otsu,3357,14415,56,47708,0.18829930446943963,0.3169223507230733,0.18889264011259907,0.9835921476711517,0.7679603367516573,0.7791900634768995
11240-6,Adaptive,3273,23699,140,38424,0.12072145175892326,0.21543524765767505,0.12134806466290468,0.9589803691778793,0.6185148817674315,0.6362457275396175
11240-6,Canny,2019,32483,1394,29640,0.05624582126405102,0.10650138467860608,0.0585183467652353,0.5915616759568837,0.47711797562983577,0.48307800293047626
11240-6,Blackhat,3301,7144,112,54979,0.3126835275237976,0.4764035214354423,0.3160363810501097,0.9671842953423034,0.8850023340793507,0.889282226562669
11240-6,UNet_no_TAFE,3294,2484,119,59639,0.5585891131158455,0.7167881623357981,0.5700934579513657,0.9651333138011974,0.9600148093299422,0.9602813720703731
11240-6,TAFE_channel,2781,199,632,61924,0.7699335548236452,0.8700140778997338,0.933221476512308,0.8148256665744265,0.9967966775590412,0.9873199462890818
11240-6,TAFE_spatial,3143,887,270,61236,0.7309302325643969,0.8445519279881156,0.7799007444223349,0.92089071198591,0.9857218743460784,0.9823455810547145
11240-6,TAFE_full,2775,196,638,61927,0.7689110557005012,0.8693609022576855,0.9340289464848862,0.8130676823963355,0.996844968852121,0.9872741699218944
11240-7,Otsu,2320,22360,16,40840,0.09394233884396685,0.17175007403327008,0.09400324149475686,0.9931506849318,0.6462025316461294,0.658569335938021
11240-7,Adaptive,2263,24103,73,39097,0.0855932523957578,0.15768935962944153,0.08583023591335116,0.9687500000013377,0.6186234177221225,0.6311035156255629
11240-7,Canny,1708,30948,628,32252,0.0513159476053019,0.0976223136742752,0.05230279275155469,0.7311643835731523,0.5103164556969774,0.5181884765632352
11240-7,Blackhat,2312,13232,24,49968,0.14850976362314677,0.2586129753956453,0.14873906330964526,0.9897260273977001,0.7906329113927364,0.7977294921878086
11240-7,UNet_no_TAFE,2183,1428,153,61772,0.5799681190334759,0.7341516731169639,0.6045416782164347,0.9345034246603381,0.977405063291175,0.9758758544922244
11240-7,TAFE_channel,1840,180,496,63020,0.7313195548596456,0.8448117539062256,0.9108910891133222,0.7876712328858019,0.9971518987341818,0.9896850585937658
11240-7,TAFE_spatial,2074,559,262,62641,0.7164075993189496,0.8347756087777264,0.7876946448998217,0.8878424657582259,0.9911550632911532,0.9874725341797066
11240-7,TAFE_full,1798,150,538,63050,0.7232502011374398,0.8394024276414705,0.9229979466158625,0.769691780831777,0.9976265822784848,0.989501953125016
11240-8,Otsu,2744,23663,35,39094,0.10377429846795334,0.1880353594216815,0.10391184156055625,0.9874055415621661,0.6229424606026054,0.6383972167974268
11240-8,Adaptive,2689,24201,90,38556,0.09966641957338893,0.18126664195226913,0.10000000000334697,0.9676142497312841,0.6143697117459178,0.629348754883378
11240-8,Canny,2084,39307,695,23450,0.04951765432911296,0.09436268961038179,0.05034910971213464,0.749910039591583,0.37366349570665636,0.38961791992280637
11240-8,Blackhat,2735,14857,44,47900,0.1550805171288553,0.2685189730535147,0.15546839472967558,0.9841669665352945,0.7632614688405066,0.7726287841800344
11240-8,UNet_no_TAFE,2625,2463,154,60294,0.5007630675410003,0.66734460404643,0.5159198113302689,0.9445843828735306,0.9607533820928968,0.9600677490234985
11240-8,TAFE_channel,1976,152,803,62605,0.6741726373362616,0.8053800692927373,0.9285714285747853,0.711047139269124,0.9975779594308243,0.9854278564453347
11240-8,TAFE_spatial,2478,1035,301,61722,0.6497115888922467,0.7876668785793441,0.7053800170878058,0.891687657434628,0.9835078158612051,0.9796142578125311
11240-8,TAFE_full,2028,177,751,62580,0.6860622462893755,0.813804173358471,0.9197278911601031,0.7297589060910487,0.9971795974951047,0.9858398437500216
11240-9,Otsu,2241,26689,48,36558,0.0773345296463616,0.14356641788928676,0.07746284134435719,0.979030144168675,0.5780195108075039,0.59202575683656
11240-9,Adaptive,2233,25353,56,37894,0.08078286665552137,0.14948953975180088,0.08094685710475985,0.9755351681967874,0.5991430423583741,0.6122894287115291
11240-9,Canny,1909,43636,380,19611,0.0415677735459084,0.07981770289108203,0.04191458996807133,0.8339886413353436,0.310070042848973,0.32836914062602485
11240-9,Blackhat,2246,18352,43,44895,0.10881255753544491,0.19626862411326834,0.10903971259778113,0.9812145041511047,0.7098360396545135,0.7193145751957408
11240-9,UNet_no_TAFE,2139,2323,150,60924,0.4637901127609759,0.6336838986871028,0.47938144331063687,0.9344692005271092,0.9632709851851261,0.9622650146484951
11240-9,TAFE_channel,1359,147,930,63100,0.5578817734171642,0.716205533604316,0.9023904382534933,0.5937090432680775,0.9976757790883399,0.9835662841797126
11240-9,TAFE_spatial,2007,1088,282,62159,0.5943144803199789,0.7455423477016058,0.6484652665703243,0.8768020969909655,0.9827976030483931,0.9790954589844069
11240-9,TAFE_full,1520,175,769,63072,0.6168831168986655,0.7630522088412889,0.896755162247979,0.6640454347023135,0.9972330703432618,0.985595703125022
11247-1,Otsu,2920,274,686,61656,0.7525773195940058,0.8588235294138409,0.9142141515368123,0.8097615086020588,0.9955756499273445,0.9853515625000223
11247-1,Adaptive,3030,14006,576,47924,0.1720417896935496,0.29357620385963773,0.17785865227061598,0.8402662229661602,0.7738414338773231,0.7774963378909645
11247-1,Canny,1673,1091,1933,60839,0.3561847988214566,0.5252747252821778,0.6052821997248451,0.4639489739472006,0.9823833360245723,0.9538574218750704
11247-1,Blackhat,2813,343,793,61587,0.7123322360164008,0.8320023661663413,0.8913181242113017,0.7800887409933419,0.9944614887776612,0.9826660156250264
11247-1,UNet_no_TAFE,417,7,3189,61923,0.11541655136685812,0.20694789083853726,0.9834905660416295,0.11564059902618858,0.9998869691587278,0.9512329101563244
11247-1,TAFE_channel,957,59,2649,61871,0.2611186903339395,0.4141064474380332,0.9419291338639834,0.26539101499541345,0.9990473114807056,0.9586791992188131
11247-1,TAFE_spatial,412,3,3194,61927,0.11415904685192134,0.20492414824160846,0.9927710843390913,0.1142540211005476,0.9999515582108833,0.9512176513672619
11247-1,TAFE_full,935,16,2671,61914,0.25814467147271825,0.41035769147662154,0.9831756046284779,0.2592900721225932,0.9997416437913778,0.9589996337891251
11247-10,Otsu,1453,30981,4,33098,0.04479314384658489,0.08574547815323907,0.04479866806732195,0.9972546328073264,0.5165186722646787,0.5272064208991589
11247-10,Adaptive,1408,14716,49,49363,0.08705867804929786,0.1601729139459634,0.08732324485805432,0.9663692518897482,0.7703459791823056,0.7747039794925312
11247-10,Canny,835,1270,622,62809,0.30619728642074817,0.4688377316263662,0.39667458435170194,0.5730954015392522,0.9801807144306556,0.9711303710937941
11247-10,Blackhat,1396,493,61,63586,0.7158974359120053,0.8344291691621509,0.7390153520519315,0.9581331503117273,0.9923063718222939,0.9915466308593879
11247-10,UNet_no_TAFE,578,123,879,63956,0.3658227848502643,0.5356811863051122,0.8245363766298807,0.3967055594099721,0.9980804943897407,0.9847106933593983
11247-10,TAFE_channel,780,105,677,63974,0.4993597951664942,0.6660973527042657,0.881355932216796,0.5353466026399899,0.9983613976497786,0.9880676269531432
11247-10,TAFE_spatial,609,73,848,64006,0.3980392157256183,0.5694249649570162,0.8929618768485393,0.41798215515319265,0.9988607812231795,0.9859466552734589
11247-10,TAFE_full,736,69,721,64010,0.48230668417547135,0.6507515473187113,0.9142857142963621,0.5051475635205801,0.9989232041698545,0.9879455566406434
11247-12,Otsu,793,25378,5,39360,0.030294926654071304,0.05880826134058064,0.030300714535056738,0.9937343358403842,0.6079891253983627,0.6126861572271535
11247-12,Adaptive,763,16864,35,47874,0.04320009059538444,0.08282225237946908,0.04328586827569475,0.9561403508826892,0.7395038462730706,0.742141723633206
11247-12,Canny,498,816,300,63922,0.30855018591644673,0.4715909091159285,0.37899543383721496,0.6240601504230502,0.9873953474003099,0.982971191406276
11247-12,Blackhat,792,15146,6,49592,0.04967385851072708,0.09464627151592588,0.04969255867078872,0.992481203008461,0.7660415829964379,0.7687988281253528
11247-12,UNet_no_TAFE,180,30,618,64708,0.21739130444234406,0.3571428572066327,0.8571428572108843,0.22556390987148323,0.9995365936544232,0.9901123046875151
11247-12,TAFE_channel,296,30,502,64708,0.35748792278291214,0.526690391501184,0.9079754601509278,0.37092731837457055,0.9995365936544232,0.9918823242187624
11247-12,TAFE_spatial,167,16,631,64722,0.2051597052573514,0.34046890934347923,0.9125683060587059,0.20927318305648207,0.9997528499490257,0.9901275634765776
11247-12,TAFE_full,260,13,538,64725,0.32059186198266443,0.48552754439911033,0.9523809523983953,0.3258145364253366,0.9997991905835834,0.9915924072265754
11247-2,Otsu,3046,463,403,61624,0.7786298568563745,0.8755389479753444,0.8680535765212866,0.8831545375505029,0.99254272230903,0.9867858886718952
11247-2,Adaptive,3129,14214,320,47873,0.1771499745276728,0.30098114659820613,0.18041861270149095,0.9072194839110693,0.7710631855303509,0.7782287597659634
11247-2,Canny,1448,1337,2001,60750,0.3025491015607491,0.4645492460785282,0.51992818673178,0.41983183533140533,0.9784657013545855,0.9490661621094527
11247-2,Blackhat,2939,551,510,61536,0.7347500000066313,0.8470961233629183,0.8421203438440653,0.8521310524832667,0.9911253563548068,0.9838104248047123
11247-2,UNet_no_TAFE,706,22,2743,62065,0.2033995966809738,0.33804165670725306,0.9697802197843709,0.20469701365019724,0.9996456585114442,0.9578094482422519
11247-2,TAFE_channel,1181,59,2268,62028,0.33665906501320814,0.5037321390594214,0.9524193548425468,0.34241809221970376,0.9990497205534186,0.9644927978516167
11247-2,TAFE_spatial,704,8,2745,62079,0.20364477873290007,0.33838019708391304,0.9887640449453983,0.20411713542464144,0.9998711485496161,0.9579925537110016
11247-2,TAFE_full,1091,12,2358,62075,0.31522681307959477,0.47934973639105116,0.9891205802367071,0.316323572069692,0.9998067228244241,0.9638366699219302
11247-3,Otsu,2903,32241,27,30365,0.08253959228033737,0.15249251457910254,0.08260300478294273,0.9907849829354681,0.48501741047266234,0.5076293945320013
11247-3,Adaptive,2705,13660,225,48946,0.16305003014368263,0.2803835190501146,0.16529178124555274,0.9232081911289007,0.7818100501552857,0.7881317138675108
11247-3,Canny,1014,1011,1916,61595,0.25729510278464107,0.409283551979631,0.5007407407653954,0.34607508534655035,0.9838513880459,0.9553375244141307
11247-3,Blackhat,2556,571,374,62035,0.7300771208303319,0.8439821693933633,0.8173968660115959,0.8723549488098172,0.9908794684215716,0.9855804443359595
11247-3,UNet_no_TAFE,374,10,2556,62596,0.1272108843834282,0.22570911287792067,0.9739583333401151,0.12764505122431247,0.9998402709005529,0.9608459472656847
11247-3,TAFE_channel,604,26,2326,62580,0.20433017594031358,0.3393258427151875,0.9587301587367095,0.2061433447369917,0.9995847043414375,0.9641113281250547
11247-3,TAFE_spatial,347,1,2583,62605,0.11838962814335076,0.21171446006065545,0.997126436782435,0.11843003415978055,0.9999840270900553,0.9605712890625602
11247-3,TAFE_full,519,3,2411,62603,0.1769519263833293,0.3006952491511966,0.9942528735643194,0.17713310583013198,0.9999520812701659,0.9631652832031812
11247-4,Otsu,2541,503,408,62084,0.7360950173888733,0.8479893208768898,0.834756898822774,0.8616480162813954,0.9919631872433701,0.9860992431640837
11247-4,Adaptive,2701,13359,248,49228,0.16562423351014455,0.28418117734081655,0.1681818181869976,0.9159036961710443,0.7865531180600019,0.7923736572268794
11247-4,Canny,908,1153,2041,61434,0.22135543639148328,0.3624750499129247,0.440562833603078,0.307900983407667,0.9815776439196933,0.9512634277344494
11247-4,Blackhat,2463,619,486,61968,0.6903026905916395,0.8167799701572412,0.7991563919597937,0.8351983723351917,0.9901097672040677,0.9831390380859633
11247-4,UNet_no_TAFE,0,0,2949,62587,3.3909799931030524e-11,3.3909799931030524e-11,1.0,3.3909799931030524e-11,1.0,0.9550018310547561
11247-4,TAFE_channel,193,3,2756,62584,0.06537940382569853,0.12273449923298142,0.9846938775588296,0.06544591390079872,0.9999520667231215,0.9579010009766268
11247-4,TAFE_spatial,6,0,2943,62587,0.0020345880297716317,0.004060913739287278,1.0,0.0020345880297716317,1.0,0.955093383789131
11247-4,TAFE_full,186,4,2763,62583,0.06298679312350197,0.11850907935270759,0.9789473684321329,0.06307222790562658,0.999936088964162,0.9577789306641269
11247-5,Otsu,2350,42748,15,20423,0.05209141489359587,0.09902450329920354,0.05210874096622442,0.9936575052856804,0.32329708252311457,0.34748840332130815
11247-5,Adaptive,2109,13512,256,49659,0.1328336587571151,0.23451573446439164,0.13501056270958958,0.8917547568756129,0.7861043833407955,0.7899169921878205
11247-5,Canny,884,1232,1481,61939,0.24576035587306755,0.39455478689144047,0.41776937620899013,0.3737843552061825,0.9804973801269878,0.9586029052735007
11247-5,Blackhat,2021,1158,344,62013,0.5736588135233137,0.7290764790813659,0.6357345077182845,0.8545454545516049,0.9816688037232565,0.97708129882816
11247-5,UNet_no_TAFE,89,6,2276,63165,0.03753690430039912,0.07235772361494482,0.9368421053296399,0.037632135347246,0.9999050197084106,0.9651794433594282
11247-5,TAFE_channel,343,10,2022,63161,0.14442105266760336,0.25239146433949994,0.9716713881100081,0.14503171250972383,0.9998416995140178,0.9689941406250473
11247-5,TAFE_spatial,97,4,2268,63167,0.040945546684637166,0.07866991082406043,0.9603960396431722,0.04101479919488309,0.9999366798056071,0.9653320312500528
11247-5,TAFE_full,303,6,2062,63165,0.12779417970781132,0.22662677639391823,0.9805825242781286,0.12811839327153834,0.9999050197084106,0.9684448242187982
11247-6,Otsu,2408,33981,51,29096,0.06608122942078462,0.1239703459660112,0.0661738437465548,0.979259861733255,0.46127748624782205,0.48071289062579237
11247-6,Adaptive,2254,13434,205,49643,0.14182344428904659,0.2484157161004661,0.14367669556894647,0.9166327775552406,0.7870222109488609,0.79188537597688
11247-6,Canny,1068,820,1391,62257,0.32570905766008823,0.49137336095027895,0.5656779661246992,0.4343228955089743,0.9870000158536598,0.966262817382864
11247-6,Blackhat,2202,481,257,62596,0.7489795918452727,0.856476079349349,0.8207230711956495,0.8954859699107163,0.9923743995434273,0.9887390136718922
11247-6,UNet_no_TAFE,117,0,2342,63077,0.04758031724084667,0.09083850935206372,1.0,0.04758031724084667,1.0,0.9642639160156795
11247-6,TAFE_channel,265,4,2194,63073,0.10759236706830727,0.19428152495622136,0.9851301115296914,0.10776738515218516,0.9999365854431885,0.9664611816406762
11247-6,TAFE_spatial,111,0,2348,63077,0.04514030097417079,0.08638132299274781,1.0,0.04514030097417079,1.0,0.9641723632813046
11247-6,TAFE_full,234,5,2225,63072,0.09496753250426268,0.17346182360365228,0.9790794979167031,0.09516063444102642,0.9999207318039858,0.965972900390677
11247-7,Otsu,2747,27321,105,35363,0.0910416597650514,0.1668894289211212,0.09135958494382279,0.9631837307165784,0.5641471507887752,0.5815124511725136
11247-7,Adaptive,2421,13412,431,49272,0.14885636990193765,0.2591383462710241,0.1529084822891877,0.8488779803699552,0.78603790440976,0.7887725830081348
11247-7,Canny,989,1078,1863,61606,0.2516539440393981,0.4021142508761514,0.47847121434550216,0.34677419357129124,0.9828026290600747,0.955123901367256
11247-7,Blackhat,2147,484,705,62200,0.6435851319051683,0.7831479117311116,0.8160395287033052,0.7528050490970265,0.9922787314147274,0.9818572998047151
11247-7,UNet_no_TAFE,72,9,2780,62675,0.025166025899155328,0.049096488269720545,0.8888888890260631,0.025245441829409347,0.9998564226915961,0.9574432373047524
11247-7,TAFE_channel,552,25,2300,62659,0.19186652766104043,0.3219597550503949,0.9566724436816859,0.1935483871250509,0.9996011741433227,0.9645233154297417
11247-7,TAFE_spatial,84,9,2768,62675,0.02936036354318908,0.057045840439489105,0.9032258065556712,0.029453015461800385,0.9998564226915961,0.9576263427735021
11247-7,TAFE_full,549,20,2303,62664,0.1911559888861018,0.32095878400114125,0.9648506151204129,0.19249649371695313,0.9996809393146582,0.9645538330078666
11247-8,Otsu,2612,27919,68,34937,0.08536226674373226,0.15729728102388577,0.08555238937772902,0.9746268656725885,0.5558260150191615,0.5729522705084641
11247-8,Adaptive,2239,12214,441,50642,0.1503289915459223,0.26136695266875987,0.15491593441392848,0.8354477612001698,0.8056828305972291,0.8069000244143572
11247-8,Canny,1080,908,1600,61948,0.3010033445010869,0.4627249357441576,0.5432595573670392,0.4029850746491424,0.9855542828051649,0.9617309570313084
11247-8,Blackhat,2030,363,650,62493,0.667104830770059,0.8003153952335834,0.8483075637338777,0.7574626865762142,0.9942248949981001,0.984542846679711
11247-8,UNet_no_TAFE,259,3,2421,62853,0.09653373093192198,0.17607070023194865,0.9885496183249811,0.09664179107848353,0.9999522718594884,0.9630126953125564
11247-8,TAFE_channel,568,34,2112,62822,0.20928518794365197,0.34613040830755243,0.9435215946937672,0.2119402985368679,0.9994590810742022,0.967254638671925
11247-8,TAFE_spatial,255,3,2425,62853,0.09504286250111656,0.17358747450055864,0.9883720930277626,0.09514925376510637,0.9999522718594884,0.9629516601563065
11247-8,TAFE_full,543,16,2137,62840,0.20140949557858273,0.3352886693629118,0.971377459754673,0.20261194032826074,0.9997454499172717,0.9671478271484877
11247-9,Otsu,1579,29246,8,34703,0.0512113644502604,0.09743304949062867,0.0512246553153245,0.9949590422183391,0.5426668126170188,0.5536193847663061
11247-9,Adaptive,1509,13528,78,50421,0.09983460139530377,0.1815447545766269,0.10035246392830782,0.9508506616288059,0.7884564262149706,0.7923889160159417
11247-9,Canny,709,1185,878,62764,0.25577200579885384,0.4073542085777836,0.3743400211523579,0.4467548834627123,0.9814696085943776,0.9685211181641106
11247-9,Blackhat,1464,666,123,63283,0.6498002663271283,0.7877320419750409,0.6873239436766515,0.9224952741069631,0.9895854509062072,0.9879608154297058
11247-9,UNet_no_TAFE,10,0,1577,63949,0.006301197290088141,0.012523481589697967,1.0,0.006301197290088141,1.0,0.9759368896484742
11247-9,TAFE_channel,184,9,1403,63940,0.1152882206068115,0.20674157307827296,0.9533678756718301,0.11594202904121348,0.9998592628500839,0.9784545898437829
11247-9,TAFE_spatial,19,0,1568,63949,0.011972274794456693,0.023661270297405897,1.0,0.011972274794456693,1.0,0.9760742187500365
11247-9,TAFE_full,222,2,1365,63947,0.13971050980870292,0.24516841528187916,0.9910714285754145,0.1398865785041029,0.9999687250777964,0.9791412353515944
11248-1,Otsu,476,27113,16,37931,0.017243253037430743,0.03390192657300701,0.0172532531116849,0.9674796748033578,0.583159092307387,0.5860443115240691
11248-1,Adaptive,444,15542,48,49502,0.02769115629894168,0.053890035204188065,0.027774302520782095,0.9024390244100734,0.761054055716498,0.7621154785159879
11248-1,Canny,306,819,186,64225,0.23340961104245542,0.37847866423138654,0.2720000000647111,0.6219512195890343,0.9874085234610611,0.9846649169922109
11248-1,Blackhat,478,18618,14,46426,0.025013082161041273,0.04880539106060442,0.025031420197816134,0.9715447154529381,0.713762991206393,0.7156982421879338
11248-1,UNet_no_TAFE,391,120,101,64924,0.6388888889478941,0.7796610169711206,0.765166340554762,0.794715447196196,0.9981550950126097,0.9966278076171926
11248-1,TAFE_channel,376,83,116,64961,0.65391304353845,0.7907465825666933,0.8191721133291564,0.764227642324344,0.9987239407170551,0.9969635009765672
11248-1,TAFE_spatial,357,65,135,64979,0.640933572775416,0.7811816192799582,0.8459715640175423,0.7256097561533313,0.9990006764651636,0.9969482421875047
11248-1,TAFE_full,344,61,148,64983,0.6220614828893198,0.7670011148531771,0.8493827160865722,0.6991869919310596,0.9990621732980766,0.9968109130859424
11248-2,Otsu,755,29109,40,35632,0.025247458537234993,0.04925144329870755,0.025281275117113308,0.9496855345975238,0.5503776586713978,0.5552215576178662
11248-2,Adaptive,631,14777,164,49964,0.04052144876033572,0.0778868110900581,0.04095275182346214,0.7937106918498477,0.7717520582014925,0.7720184326175353
11248-2,Canny,674,1314,121,63427,0.31958274066763476,0.48436938557368425,0.33903420526463607,0.8477987421575096,0.9797037426051811,0.9781036376953459
11248-2,Blackhat,690,10680,105,54061,0.06013071896243894,0.11344019729458742,0.060686015839395896,0.8679245283185001,0.835034985558093,0.8354339599611886
11248-2,UNet_no_TAFE,669,308,126,64433,0.6065276518942404,0.7550790067858307,0.6847492323761771,0.8415094339822,0.9952425819805143,0.9933776855468851
11248-2,TAFE_channel,561,69,234,64672,0.6493055555961452,0.7873684210675531,0.8904761904935752,0.7056603773955145,0.998934214794336,0.9953765869140696
11248-2,TAFE_spatial,550,63,245,64678,0.6410256410674795,0.7812500000155362,0.8972267536872387,0.6918238994098335,0.9990268917687416,0.9953002929687572
11248-2,TAFE_full,493,43,302,64698,0.5883054893092715,0.74079639370843,0.9197761194179523,0.620125786211305,0.9993358150167602,0.9947357177734455
11248-3,Otsu,950,29801,69,34716,0.03082414017186624,0.05980484734321748,0.030893304285939015,0.9322865554531613,0.538090735775783,0.5442199707038204
11248-3,Adaptive,790,14131,229,50386,0.05214521452770861,0.09912170640464792,0.05294551304166647,0.775269872445999,0.7809724568721718,0.7808837890628344
11248-3,Canny,996,1974,23,62543,0.3327764784720088,0.4993732765229538,0.335353535375914,0.9774288518177204,0.9694034130539712,0.969528198242234
11248-3,Blackhat,779,2488,240,62029,0.22212717424516318,0.3635090994082243,0.23844505665018534,0.7644749754892566,0.9614365206070316,0.9583740234375635
11248-3,UNet_no_TAFE,875,360,144,64157,0.6345177665239653,0.7763975155378706,0.708502024315101,0.858684985293554,0.9944200753289917,0.9923095703125118
11248-3,TAFE_channel,624,32,395,64485,0.5937202664515965,0.7450746268808911,0.951219512202558,0.6123650638260681,0.9995040066959103,0.9934844970703225
11248-3,TAFE_spatial,674,34,345,64483,0.6400759734434874,0.7805442964805707,0.9519774011367264,0.6614327772658064,0.9994730071144048,0.9942169189453213
11248-3,TAFE_full,565,25,454,64492,0.541187739507549,0.7022995649656744,0.9576271186512496,0.5544651619671771,0.99961250523118,0.9926910400390736
11249-1,Otsu,2695,22736,8,40097,0.1059396988910494,0.191583137843209,0.10597302505168504,0.9970403255642974,0.6381519265359952,0.6529541015630296
11249-1,Adaptive,2510,19051,193,43782,0.11538107934579671,0.20689086713152452,0.11641389546349235,0.9285978542386756,0.696799452517472,0.7063598632816981
11249-1,Canny,1628,10455,1075,52378,0.12372701019057815,0.22020830515879744,0.13473475131064525,0.6022937477024679,0.8336065443320649,0.8240661621096435
