image,method,tp,fp,fn,tn,iou,dice,precision,recall,specificity,accuracy
11194,Adaptive,1150,24061,18,40307,0.04558246462782678,0.08719056825851172,0.04561500932511358,0.9845890410972098,0.6261962465827333,0.6325836181646232
11194,Canny,820,21588,348,42780,0.03603445245633664,0.06956226671585697,0.03659407354946182,0.7020547945460569,0.6646159582406403,0.6652832031255107
11194,Blackhat,1154,15065,14,49303,0.07108975544217896,0.1327428538613174,0.07115111906362198,0.9880136986311632,0.765955132985698,0.7699127197269136
11194,UNet_no_TAFE,1131,954,37,63414,0.5329877474301138,0.6953581309654056,0.5424460431874127,0.9683219178109314,0.9851789709172489,0.9848785400390856
11194,TAFE_channel,862,91,306,64277,0.6846703733371985,0.8128241395656378,0.9045120671663681,0.7380136986525673,0.9985862540392764,0.9939422607421967
11194,TAFE_spatial,1093,362,75,64006,0.7143790849859883,0.8333968738149677,0.7512027491579929,0.9357876712383744,0.9943760874969017,0.9933319091796977
11194,TAFE_full,920,103,248,64265,0.7238394964812085,0.8397991784646373,0.8993157380352576,0.787671232894891,0.9983998260004996,0.9946441650390707
11215-1,Otsu,9815,6404,286,49031,0.5946682823411411,0.7458206686939749,0.6051544484887776,0.971685971686252,0.8844773157754406,0.8979187011720308
11215-1,Adaptive,9569,17588,532,37847,0.34558850085107595,0.5136614955190465,0.3523585079377238,0.9473319473324687,0.6827275187161852,0.7235107421879219
11215-1,Canny,5189,33818,4912,21617,0.11814932034172419,0.21133012951207272,0.13302740533972612,0.513711513716328,0.38995219626699745,0.4090270996102768
11215-1,Blackhat,9075,6367,1026,49068,0.5510687393760562,0.7105664957142444,0.5876829426266825,0.898425898426904,0.885144764138387,0.8871917724611096
11215-1,UNet_no_TAFE,9554,2450,547,52985,0.7612142458787251,0.8644198145222148,0.7959013662129631,0.945846945847482,0.9558040948859822,0.9542694091797573
11215-1,TAFE_channel,3562,90,6539,55345,0.3495240898896131,0.51799607358745,0.9753559693325478,0.3526383526447615,0.9983764769549952,0.8988494873048418
11215-1,TAFE_spatial,8986,1078,1115,54357,0.803828607211702,0.8912472105138048,0.8928855325924793,0.8896148896159825,0.9805538017498321,0.9665374755859886
11215-1,TAFE_full,4355,124,5746,55311,0.42591687042126236,0.597393689989044,0.9723152489401136,0.43114543115106274,0.9977631460268823,0.9104309082032617
11215-10,Otsu,4285,13448,16,47787,0.24142205195086244,0.38894435872111766,0.24163988045315715,0.9962799348989472,0.7803870335595976,0.7945556640628135
