profile,method,label,n,iou_mean,dice_mean,recall_mean,iou_micro,dice_micro,recall_micro
low,UNet_no_TAFE,U-Net w/o TAFE,80,0.48315749088719373,0.6222764375497258,0.825618847101589,0.5746573628107187,0.7298824193536808,0.8645960546923595
low,TAFE_full,TAFE full,80,0.5427303988768064,0.6825214213468991,0.5761345398339577,0.5093730614806338,0.6749465383738915,0.5259718091753829
medium,UNet_no_TAFE,U-Net w/o TAFE,80,0.5403225894330711,0.6695439313780934,0.7993811339980854,0.632191494453058,0.774653582746274,0.8461400390659911
medium,TAFE_full,TAFE full,80,0.5865388297145965,0.7187109914915617,0.6255082273239306,0.5908518816302856,0.7428119342257611,0.6129691871822855
high,UNet_no_TAFE,U-Net w/o TAFE,80,0.5110784506008473,0.6292183255622257,0.6942212003484544,0.6196723420441371,0.7651823470196886,0.7798229714749046
high,TAFE_full,TAFE full,80,0.5702134105193307,0.6958647107362917,0.6049384989077126,0.617593993122336,0.7635958043219419,0.6409101307478343
severe,UNet_no_TAFE,U-Net w/o TAFE,80,0.3579802038871103,0.4581844913132954,0.4695774735166968,0.5052134264537981,0.6712847727434988,0.6145846164676599
severe,TAFE_full,TAFE full,80,0.4620591461610273,0.5841386070307989,0.49602998369961177,0.5579449775643051,0.7162576157683692,0.5842187692471592
