method,label,n,iou_mean,iou_std,iou_micro,dice_mean,dice_std,dice_micro,precision_mean,precision_std,precision_micro,recall_mean,recall_std,recall_micro,specificity_mean,specificity_std,specificity_micro,accuracy_mean,accuracy_std,accuracy_micro
Otsu,Otsu,237,0.20434598543709653,0.25871852653617206,0.11575330633034228,0.28035988372467624,0.27825881853377477,0.20748906711474063,0.21800520579730573,0.28969460687918125,0.11648710399110085,0.9706995636836446,0.046443733872566284,0.9483879513840388,0.6789503715916784,0.1872589961175503,0.6747718092288971,0.6866077793303174,0.18082537506081298,0.6866077793298412
Adaptive,Adaptive,237,0.10765773695822761,0.07404625337442963,0.10686275188645106,0.1870166807533372,0.11107770551687102,0.19309124225982904,0.11057402694551083,0.08034724329929341,0.10820714538686757,0.9346654352671638,0.06667486117323505,0.895845674363516,0.6667057345217582,0.06378835030412718,0.6661830691660419,0.6761177159567838,0.06155095888752119,0.6761177159562917
Canny,Canny,237,0.14841718390606795,0.1183938978689615,0.08241334493936195,0.24149348002730583,0.16637483061101419,0.15227703044250449,0.1906218863939291,0.17123752138863318,0.08886814665365342,0.6431815400049027,0.21662295317820082,0.5315384638283243,0.7529273476028078,0.22144702623328297,0.7536021497489208,0.7439962137604448,0.21186138550939088,0.7439962137600558
Blackhat,Black-hat,237,0.26917217418230566,0.22473132148277783,0.17097783641146463,0.38020747461711185,0.2520733510435043,0.2920257430925003,0.3043999158852249,0.264166865375146,0.17956601072919776,0.8914367894275783,0.16679437519108686,0.781415673678885,0.8396367744071025,0.11517142842808452,0.8385757644234384,0.8361031576553463,0.10983656486146487,0.8361031576550974
UNet_no_TAFE,U-Net w/o TAFE,237,0.5507721071750455,0.2089591795543837,0.5883227200143002,0.6831751438457389,0.20619055015335447,0.7408100540285542,0.6779997925838505,0.20557073238538345,0.6535997469230603,0.8247018514719957,0.24244481418803002,0.8548769270611845,0.9794731322895338,0.027589828625415577,0.979514949845069,0.9741234115407832,0.025499193789926367,0.9741234115407439
TAFE_channel,TAFE-C,237,0.592296805065138,0.19579692039038743,0.6215376705121441,0.7221550789867038,0.18117887850080752,0.766602813878289,0.9052043184396112,0.09201612221576225,0.9242493304626531,0.6390986190749997,0.21238454097324277,0.6548986571967448,0.9975661861722304,0.0030392360220124464,0.9975731745444899,0.982749906773332,0.016792561397162533,0.9827499067733058
TAFE_spatial,TAFE-S,237,0.6272498951761679,0.22402993766934765,0.6545425389411709,0.7419396035187746,0.21518921287468482,0.7912066610992482,0.8116395737183422,0.18470146011797692,0.775103228496237,0.7721283522840281,0.23367097116031316,0.8079934154712898,0.989411475669135,0.02311716006052543,0.9894001771448668,0.9815529610034563,0.022426723374111862,0.9815529610034284
TAFE_full,TAFE full,237,0.5962985667095541,0.18752718536001836,0.6192571141380643,0.7270912062038843,0.17428583096046518,0.7648657013530308,0.9172762425615384,0.09375065880565452,0.9344896634997713,0.6368165687922958,0.1981863173138471,0.6473600862061792,0.9979482615331701,0.0030928282318852677,0.9979481370112315,0.9827825489929719,0.01660064792658509,0.9827825489929458
